Date,0005.HK,000660.KS,005930.KS,0388.HK,0700.HK,0883.HK,0941.HK,1299.HK,1398.HK,2318.HK,4063.T,4502.T,6098.T,6758.T,6861.T,6954.T,7203.T,7267.T,7974.T,8035.T,8058.T,8306.T,9432.T,9433.T,9984.T,BHP.AX,CBA.AX,TSM
2024-12-27,69.3565444946289,172375.109375,52566.1953125,284.6408386230469,413.78790283203125,17.374874114990234,71.60719299316406,54.79353713989258,4.744180679321289,43.88641357421875,5163.4423828125,3937.179931640625,11409.13671875,3384.84716796875,63765.3046875,4066.06103515625,3038.9384765625,1425.3046875,9108.474609375,23579.431640625,2500.786376953125,1747.9140625,149.94065856933594,2413.81103515625,2301.25,37.41616439819336,149.70431518554688,198.39028930664062
2024-12-30,69.77129364013672,171782.421875,52076.75,282.5338134765625,415.3740539550781,17.542299270629883,71.74852752685547,54.79353713989258,4.753375053405762,43.88641357421875,5131.46728515625,3930.5986328125,11090.6953125,3337.299072265625,63834.44140625,4078.760986328125,2998.90234375,1429.028564453125,9024.6962890625,23390.8359375,2494.5595703125,1760.791015625,150.1306915283203,2405.69970703125,2284.09130859375,37.48202133178711,148.6213836669922,197.1702117919922
2024-12-31,69.86346435546875,171782.421875,52076.75,282.72540283203125,416.1671142578125,17.765531539916992,72.07829284667969,54.744873046875,4.79934549331665,43.64970016479492,5131.46728515625,3930.5986328125,11090.6953125,3337.299072265625,63834.44140625,4078.760986328125,2998.90234375,1429.028564453125,9024.6962890625,23390.8359375,2494.5595703125,1760.791015625,150.1306915283203,2405.69970703125,2284.09130859375,37.20918655395508,146.86758422851562,194.3168182373047
2025-01-02,69.77129364013672,169115.328125,52272.53125,274.87188720703125,412.4000244140625,17.560901641845703,71.23031616210938,53.82029342651367,4.59588623046875,41.85069274902344,5131.46728515625,3930.5986328125,11090.6953125,3337.299072265625,63834.44140625,4078.760986328125,2998.90234375,1429.028564453125,9024.6962890625,23390.8359375,2494.5595703125,1760.791015625,150.1306915283203,2405.69970703125,2284.09130859375,37.59491729736328,147.1742706298828,198.34109497070312
2025-01-03,69.1261215209961,179685.0,53251.41796875,274.87188720703125,410.6156005859375,17.691120147705078,71.46586608886719,54.01494216918945,4.633790016174316,41.70866394042969,5131.46728515625,3930.5986328125,11090.6953125,3337.299072265625,63834.44140625,4078.760986328125,2998.90234375,1429.028564453125,9024.6962890625,23390.8359375,2494.5595703125,1760.791015625,150.1306915283203,2405.69970703125,2284.09130859375,37.40675354003906,148.57345581054688,205.25814819335938
2025-01-06,69.63304138183594,197367.046875,54719.75,273.5310363769531,405.85711669921875,17.802734375,71.51297760009766,53.771629333496094,4.633790016174316,41.5666389465332,5052.0146484375,3912.736572265625,10722.498046875,3269.93896484375,62412.16796875,3992.789794921875,2870.214599609375,1469.525390625,8835.70703125,23560.08984375,2480.669189453125,1771.76025390625,149.18051147460938,2335.083740234375,2296.276611328125,36.67292022705078,149.522216796875,216.47496032714844
2025-01-07,69.40262603759766,192625.484375,54230.3046875,272.190185546875,376.31500244140625,17.653915405273438,71.23031616210938,53.18769073486328,4.652742385864258,40.9511833190918,5078.17626953125,3940.0,11200.1591796875,3309.562255859375,64456.6875,4137.3779296875,2909.297607421875,1493.2650146484375,8921.43359375,26210.115234375,2465.34130859375,1829.9444580078125,149.6555938720703,2342.71826171875,2323.87939453125,36.40949249267578,150.56683349609375,208.0229949951172
2025-01-08,70.00171661376953,192329.15625,56090.18359375,271.9986267089844,366.0050354003906,17.691120147705078,70.94766235351562,52.36042785644531,4.68117094039917,40.76181411743164,5038.44970703125,3925.898193359375,11329.525390625,3259.042236328125,63844.3203125,4104.16162109375,2929.31591796875,1484.4207763671875,8673.0205078125,26635.666015625,2431.33349609375,1830.42138671875,148.61036682128906,2328.88134765625,2330.344970703125,37.06806564331055,153.09689331054688,203.7920684814453
2025-01-09,69.67912292480469,202503.703125,54915.51953125,270.08319091796875,370.1686706542969,17.560901641845703,70.90054321289062,51.630496978759766,4.624314308166504,40.52510452270508,5026.82275390625,3910.8564453125,11110.59765625,3214.4658203125,61957.83203125,4051.406494140625,2864.495361328125,1446.251220703125,8883.44140625,26147.25,2378.64501953125,1828.9906005859375,147.75521850585938,2323.15576171875,2319.900634765625,36.94575881958008,152.17684936523438,203.7920684814453
2025-01-10,70.50863647460938,201021.984375,54132.41015625,267.7845764160156,366.40155029296875,17.50509262084961,70.4765625,51.19253921508789,4.614838600158691,38.820777893066406,5033.60498046875,3874.192138671875,10901.6201171875,3204.559814453125,62668.96875,4021.12109375,2794.908447265625,1422.977294921875,9009.109375,26137.578125,2374.333984375,1815.6368408203125,146.0448455810547,2263.51416015625,2300.50390625,37.33148956298828,149.5509796142578,205.02198791503906
2025-01-13,69.40262603759766,191934.015625,52957.75,263.7620849609375,362.83270263671875,17.895750045776367,69.86412811279297,50.75458526611328,4.59588623046875,38.773433685302734,5033.60498046875,3874.192138671875,10901.6201171875,3204.559814453125,62668.96875,4021.12109375,2794.908447265625,1422.977294921875,9009.109375,26137.578125,2374.333984375,1815.6368408203125,146.0448455810547,2263.51416015625,2300.50390625,37.2468147277832,146.3979949951172,198.1246337890625
2025-01-14,70.00171661376953,192625.484375,52761.97265625,269.7000732421875,371.75482177734375,18.118980407714844,70.00546264648438,51.338523864746094,4.624314308166504,39.199520111083984,4900.86181640625,3874.192138671875,10578.205078125,3125.3125,61355.33984375,4047.4990234375,2771.55419921875,1376.89453125,9090.939453125,25165.578125,2402.59423828125,1773.66796875,146.5199432373047,2293.57373046875,2239.826904296875,37.7830810546875,145.63131713867188,198.2131805419922
2025-01-15,70.04779815673828,195786.53125,52566.1953125,270.46624755859375,376.7115478515625,18.137582778930664,70.19390106201172,51.679161071777344,4.671694755554199,38.96280288696289,4942.52587890625,3854.44970703125,10448.8388671875,3175.83251953125,63656.66015625,4277.08154296875,2765.35791015625,1370.8433837890625,9317.919921875,24812.564453125,2391.098388671875,1805.1446533203125,145.94984436035156,2311.2275390625,2238.334716796875,37.42557144165039,144.9700469970703,203.47723388671875
